Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_ADS5272\Project Outputs for UltraZohm_Analog_ADS5272\Pick Place\PickPlace_UltraZohm_Analog_ADS5272_3v01.txt

========================================================================================================================
File Design Information:

Date:       06.05.21
Time:       10:14
Revision:   9ecd2dc5ae1c4eb981d1dd545493f6c32bbad710
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                      Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
F3          FIDUCIAL_1.7MM                 -95.8000     -264.5396    138.4300  2.5400    -95.8000  -264.5396 0        TopLayer    Fiducial                     
F2          FIDUCIAL_1.7MM                 -95.8000     -264.5396    3.5560    12.9540   -95.8000  -264.5396 0        TopLayer    Fiducial                     
F1          FIDUCIAL_1.7MM                 -95.8000     -264.5396    109.3470  85.3440   -95.8000  -264.5396 0        TopLayer    Fiducial                     
R53         RES_0603                       101.0920     7.2770       101.0920  6.4770    101.0920  6.4770    180      TopLayer    1k                           
C4          CAP_0603                       38.7350      81.8500      38.7350   82.5500   38.7350   82.5500   0        TopLayer    100nF                        
C3          CAP_0603                       29.9960      76.4540      29.2960   76.4540   29.2960   76.4540   90       TopLayer    1µF                          
BS4         RES_1206                       23.7730      69.2150      22.2730   69.2150   22.2730   69.2150   270      TopLayer    "Ferrite bead"               
BS3         RES_1206                       18.6690      67.7150      18.6690   66.2150   18.6690   66.2150   0        TopLayer    "Ferrite bead"               
R48         RES_0603                       -6.5463      39.0583      -7.1120   39.6240   -7.1120   39.6240   45       TopLayer    0                            
C79         RES_1206                       136.0170     28.5990      136.0170  27.0990   136.0170  27.0990   0        TopLayer    470pF                        
R27         RES_0603                       26.8860      77.4700      27.6860   77.4700   27.6860   77.4700   270      TopLayer    2.2M                         
C91         CAP_0603                       46.1660      18.7960      45.4660   18.7960   45.4660   18.7960   90       TopLayer    100nF                        
C90         CAP_0603                       41.0860      26.9240      40.3860   26.9240   40.3860   26.9240   90       TopLayer    100nF                        
C89         CAP_0603                       36.4490      37.4030      36.4490   36.7030   36.4490   36.7030   180      TopLayer    100nF                        
C88         CAP_0603                       26.4780      40.1320      25.7780   40.1320   25.7780   40.1320   90       TopLayer    100nF                        
U18         SOT230P700X170-4N              10.9220      7.3660       10.9220   7.3660    13.8220   5.0660    180      TopLayer    "1.8V LDO"                   
C85H        CAP_0603                       93.0530      24.7780      93.0530   24.0780   93.0530   24.0780   180      TopLayer    100nF                        
C85G        CAP_0603                       70.1930      25.1590      70.1930   24.4590   70.1930   24.4590   180      TopLayer    100nF                        
C85F        CAP_0603                       54.6750      32.3880      54.6750   31.6880   54.6750   31.6880   180      TopLayer    100nF                        
C85E        CAP_0603                       69.8500      45.4040      69.8500   44.7040   69.8500   44.7040   180      TopLayer    100nF                        
C85D        CAP_0603                       51.0180      73.8247      51.0180   73.1247   51.0180   73.1247   180      TopLayer    100nF                        
C85C        CAP_0603                       51.0180      89.7720      51.0180   89.0720   51.0180   89.0720   180      TopLayer    100nF                        
C85B        CAP_0603                       71.5900      89.9290      71.5900   89.2290   71.5900   89.2290   180      TopLayer    100nF                        
C85A        CAP_0603                       93.3360      83.6160      93.3360   82.9160   93.3360   82.9160   180      TopLayer    100nF                        
R28         RES_1206                       132.9690     28.5990      132.9690  30.0990   132.9690  30.0990   180      TopLayer    1M                           
C84B        RES_1206                       123.3817     47.0140      123.3817  45.5140   123.3817  45.5140   0        TopLayer    100nF                        
C84A        RES_1206                       123.3170     69.1572      123.3170  67.6572   123.3170  67.6572   0        TopLayer    100nF                        
C83B        RES_1206                       123.3817     42.4260      123.3817  40.9260   123.3817  40.9260   0        TopLayer    100nF                        
C83A        RES_1206                       123.3170     64.5691      123.3170  63.0692   123.3170  63.0692   0        TopLayer    100nF                        
C82B        RES_1206                       123.3817     37.8380      123.3817  36.3380   123.3817  36.3380   0        TopLayer    100nF                        
C82A        RES_1206                       123.3170     59.9811      123.3170  58.4812   123.3170  58.4812   0        TopLayer    100nF                        
C81B        RES_1206                       123.3817     33.2500      123.3817  31.7500   123.3817  31.7500   0        TopLayer    100nF                        
C81A        RES_1206                       123.3170     55.3931      123.3170  53.8932   123.3170  53.8931   0        TopLayer    100nF                        
BS2         RES_1206                       16.2800      90.1700      17.7800   90.1700   17.7800   90.1700   90       TopLayer    "Ferrite bead"               
BS1         RES_1206                       16.2320      85.0900      14.7320   85.0900   14.7320   85.0900   270      TopLayer    "Ferrite bead"               
POT2        TSSO6X6-G20/D6.6               51.9935      40.4702      51.9935   40.4702   54.8435   37.5452   90       TopLayer    X95840_                      
R26H        CAC-80P320X160-8N              99.4030      27.1260      99.4030   27.1260   100.7280  27.8260   270      TopLayer    10k                          
R26G        CAC-80P320X160-8N              76.5430      27.5070      76.5430   27.5070   77.8680   28.2070   270      TopLayer    10k                          
R26F        CAC-80P320X160-8N              61.0250      34.7360      61.0250   34.7360   62.3500   35.4360   270      TopLayer    10k                          
R26E        CAC-80P320X160-8N              76.2000      47.7520      76.2000   47.7520   77.5250   48.4520   270      TopLayer    10k                          
R26D        CAC-80P320X160-8N              57.3680      76.1727      57.3680   76.1727   58.6930   76.8727   270      TopLayer    10k                          
R26C        CAC-80P320X160-8N              57.3680      92.1200      57.3680   92.1200   58.6930   92.8200   270      TopLayer    10k                          
R26B        CAC-80P320X160-8N              77.9400      92.2770      77.9400   92.2770   79.2650   92.9770   270      TopLayer    10k                          
R26A        CAC-80P320X160-8N              99.6860      85.9640      99.6860   85.9640   101.0110  86.6640   270      TopLayer    10k                          
R25H        CAC-80P320X160-8N              102.9590     20.7760      102.9590  20.7760   103.6590  19.4510   180      TopLayer    100k                         
R25G        CAC-80P320X160-8N              80.0990      21.1570      80.0990   21.1570   80.7990   19.8320   180      TopLayer    100k                         
R25F        CAC-80P320X160-8N              64.5810      28.3860      64.5810   28.3860   65.2810   27.0610   180      TopLayer    100k                         
R25E        CAC-80P320X160-8N              79.7560      41.4020      79.7560   41.4020   80.4560   40.0770   180      TopLayer    100k                         
R25D        CAC-80P320X160-8N              61.5230      70.0967      61.5230   70.0967   60.1980   69.3967   90       TopLayer    100k                         
R25C        CAC-80P320X160-8N              61.5230      86.0440      61.5230   86.0440   60.1980   85.3440   90       TopLayer    100k                         
R25B        CAC-80P320X160-8N              82.0950      86.2010      82.0950   86.2010   80.7700   85.5010   90       TopLayer    100k                         
R25A        CAC-80P320X160-8N              103.8410     79.8880      103.8410  79.8880   102.5160  79.1880   90       TopLayer    100k                         
REF2        SOT-23-5                       79.9340      33.5280      79.9340   33.5280   81.2340   32.5780   360      TopLayer    "VREF 3.3V/1.65V"            
REF1        SOT-23-5                       68.7828      77.4979      68.7828   77.4979   70.0828   76.5479   360      TopLayer    "VREF 3.3V/1.65V"            
C78         CAP_0603                       82.7280      32.8310      82.7280   32.1310   82.7280   32.1310   180      TopLayer    100nF                        
C77         CAP_0603                       77.9670      31.2420      78.6670   31.2420   78.6670   31.2420   270      TopLayer    100nF                        
C76         CAP_0603                       76.8860      33.5900      76.8860   34.2900   76.8860   34.2900   360      TopLayer    100nF                        
C75         CAP_0603                       71.6280      77.2780      71.6280   76.5780   71.6280   76.5780   180      TopLayer    100nF                        
C74         CAP_0603                       66.6888      75.2119      67.3888   75.2119   67.3888   75.2119   270      TopLayer    100nF                        
C73         CAP_0603                       65.9888      77.6899      65.9888   78.3899   65.9888   78.3899   360      TopLayer    100nF                        
U16         SOIC127P600X170_HS-9N          33.8240      80.3750      33.8240   80.3750   31.1240   82.2800   360      TopLayer    "Buck Converter"             
R41         RES_0603                       3.2904       4.4378       3.2904    5.2378    3.2904    5.2378    0        TopLayer    0                            
R36         RES_0603                       35.3440      76.5810      34.5440   76.5810   34.5440   76.5810   90       TopLayer    38.3k                        
R35         RES_0603                       37.5540      76.5030      37.5540   77.3030   37.5540   77.3030   360      TopLayer    100k                         
C72         CAP_0603                       9.0687       2.5900       8.3687    2.5900    8.3687    2.5900    90       TopLayer    1µF                          
C71         CAP_0603                       26.6700      84.8980      26.6700   85.5980   26.6700   85.5980   360      TopLayer    1µF                          
C67         RES_1206                       21.6440      84.8750      21.6440   86.3750   21.6440   86.3750   180      TopLayer    10µF                         
C66         RES_1206                       24.2440      84.8750      24.2440   86.3750   24.2440   86.3750   180      TopLayer    10µF                         
C63         CAP_0603                       16.4888      7.3884       16.4888   8.0884    16.4888   8.0884    360      TopLayer    1µF                          
C62         RES_1206                       26.9240      80.8750      26.9240   79.3750   26.9240   79.3750   360      TopLayer    10µF                         
R24B        CAC-80P320X160-8N              107.1907     47.8889      107.1907  47.8889   107.8907  46.5639   180      TopLayer    10k                          
R24A        CAC-80P320X160-8N              107.1260     70.0320      107.1260  70.0320   107.8260  68.7070   180      TopLayer    10k                          
R23B        CAC-80P320X160-8N              107.1877     33.3369      107.1877  33.3369   107.8877  32.0119   180      TopLayer    10k                          
R23A        CAC-80P320X160-8N              107.1230     55.4800      107.1230  55.4800   107.8230  54.1550   180      TopLayer    10k                          
L2          SMT_INDUCTOR_1050_PERFORMANCE  34.4240      90.7750      34.4240   90.7750   39.3740   90.7750   270      TopLayer    15mH                         
R22         RES_0603                       16.7577      25.9648      15.9577   25.9648   15.9577   25.9648   90       TopLayer    2.2k                         
R21         RES_0603                       16.7577      22.6628      15.9577   22.6628   15.9577   22.6628   90       TopLayer    2.2k                         
R14         RES_0603                       -6.6040      32.5500      -6.6040   33.3500   -6.6040   33.3500   360      TopLayer    0                            
